File Name,Parameter Count,Time Taken (s)
onnx/sat_v7_c22.onnx,362,0.0909
onnx/unsat_v7_c22.onnx,362,0.043
onnx/sat_v8_c36.onnx,574,0.0434
onnx/unsat_v8_c38.onnx,596,0.0428
onnx/sat_v9_c14.onnx,386,0.0431
onnx/unsat_v9_c14.onnx,386,0.0435
onnx/sat_v10_c13.onnx,431,0.0433
onnx/unsat_v10_c13.onnx,431,0.0434
onnx/sat_v10_c16.onnx,470,0.0399
onnx/unsat_v10_c16.onnx,470,0.04
onnx/sat_v12_c44.onnx,1022,0.0385
onnx/unsat_v12_c45.onnx,1037,0.0382
onnx/sat_v15_c66.onnx,1730,0.0389
onnx/unsat_v15_c68.onnx,1766,0.039
onnx/sat_v16_c37.onnx,1313,0.0386
onnx/unsat_v16_c37.onnx,1313,0.0388
onnx/sat_v19_c26.onnx,1410,0.041
onnx/unsat_v19_c26.onnx,1410,0.0401
onnx/sat_v26_c113.onnx,4787,0.0399
onnx/unsat_v26_c113.onnx,4787,0.0438
onnx/sat_v27_c39.onnx,2792,0.0537
onnx/unsat_v27_c39.onnx,2792,0.04
onnx/sat_v34_c77.onnx,5367,0.0399
onnx/unsat_v34_c77.onnx,5367,0.0409
onnx/sat_v35_c81.onnx,5740,0.0418
onnx/unsat_v35_c81.onnx,5740,0.0411
onnx/sat_v40_c66.onnx,6280,0.0402
onnx/unsat_v40_c66.onnx,6280,0.0396
onnx/sat_v45_c118.onnx,9986,0.0416
onnx/unsat_v45_c118.onnx,9986,0.0405
onnx/sat_v46_c218.onnx,15192,0.0408
onnx/unsat_v46_c218.onnx,15192,0.0411
onnx/sat_v48_c167.onnx,13415,0.0407
onnx/unsat_v48_c167.onnx,13415,0.0406
onnx/sat_v48_c233.onnx,16781,0.041
onnx/unsat_v48_c233.onnx,16781,0.041
onnx/sat_v50_c187.onnx,15213,0.0409
onnx/unsat_v50_c187.onnx,15213,0.0408
onnx/sat_v51_c253.onnx,19172,0.0421
onnx/unsat_v51_c253.onnx,19172,0.0836
onnx/sat_v52_c162.onnx,14632,0.0437
onnx/unsat_v52_c162.onnx,14632,0.041
onnx/sat_v55_c137.onnx,14328,0.0421
onnx/unsat_v55_c137.onnx,14328,0.044
onnx/sat_v55_c225.onnx,19432,0.0423
onnx/unsat_v55_c225.onnx,19432,0.0426
onnx/sat_v57_c277.onnx,23462,0.0435
onnx/unsat_v57_c277.onnx,23462,0.0426
onnx/sat_v59_c64.onnx,11286,0.041
onnx/unsat_v59_c64.onnx,11286,0.0404
onnx/sat_v59_c92.onnx,13022,0.0411
onnx/unsat_v59_c92.onnx,13022,0.0409
onnx/sat_v61_c228.onnx,22402,0.0428
onnx/unsat_v61_c228.onnx,22402,0.0421
onnx/sat_v62_c73.onnx,12807,0.0402
onnx/unsat_v62_c73.onnx,12807,0.0414
onnx/sat_v65_c147.onnx,18838,0.0418
onnx/unsat_v65_c147.onnx,18838,0.0418
onnx/sat_v69_c201.onnx,24410,0.0435
onnx/unsat_v69_c201.onnx,24410,0.0428
onnx/sat_v69_c239.onnx,27146,0.0444
onnx/unsat_v69_c239.onnx,27146,0.0432
onnx/sat_v69_c313.onnx,32474,0.0448
onnx/unsat_v69_c313.onnx,32474,0.0447
onnx/sat_v73_c295.onnx,33518,0.0456
onnx/unsat_v73_c295.onnx,33518,0.0442
onnx/sat_v74_c255.onnx,31033,0.0447
onnx/unsat_v74_c255.onnx,31033,0.0442
onnx/sat_v76_c157.onnx,24413,0.0435
onnx/unsat_v76_c157.onnx,24413,0.0431
onnx/sat_v76_c172.onnx,25598,0.0443
onnx/unsat_v76_c172.onnx,25598,0.0426
onnx/sat_v78_c364.onnx,42122,0.0468
onnx/unsat_v78_c364.onnx,42122,0.0458
onnx/sat_v79_c276.onnx,35590,0.0453
onnx/unsat_v79_c276.onnx,35590,0.046
onnx/sat_v83_c201.onnx,31564,0.0441
onnx/unsat_v83_c201.onnx,31564,0.0443
onnx/sat_v84_c256.onnx,36890,0.0734
onnx/unsat_v84_c256.onnx,36890,0.0458
onnx/sat_v85_c152.onnx,28338,0.0446
onnx/unsat_v85_c152.onnx,28338,0.0433
onnx/sat_v88_c154.onnx,30032,0.0435
onnx/unsat_v88_c154.onnx,30032,0.0438
onnx/sat_v88_c339.onnx,46867,0.0478
onnx/unsat_v88_c339.onnx,46867,0.0476
onnx/sat_v89_c366.onnx,50050,0.0476
onnx/unsat_v89_c366.onnx,50050,0.0482
onnx/sat_v91_c419.onnx,56496,0.0488
onnx/unsat_v91_c419.onnx,56496,0.0492
onnx/sat_v92_c383.onnx,53867,0.0487
onnx/unsat_v92_c383.onnx,53867,0.0487
onnx/sat_v95_c453.onnx,63016,0.0514
onnx/unsat_v95_c453.onnx,63016,0.0517
onnx/sat_v96_c286.onnx,47324,0.0487
onnx/unsat_v96_c286.onnx,47324,0.0472
onnx/sat_v98_c239.onnx,43937,0.0478
onnx/unsat_v98_c239.onnx,43937,0.0482
onnx/sat_v100_c103.onnx,31211,0.0449
onnx/unsat_v100_c103.onnx,31211,0.0455
