File Name,Parameter Count,Time Taken (s)
sat_v7_c22,362,0.0407
unsat_v7_c22,362,0.0224
sat_v8_c36,574,0.0349
unsat_v8_c38,596,0.036
sat_v9_c14,386,0.0235
unsat_v9_c14,386,0.0232
sat_v10_c13,431,0.0263
unsat_v10_c13,431,0.026
sat_v10_c16,470,0.0285
unsat_v10_c16,470,0.0283
sat_v12_c44,1022,0.0597
unsat_v12_c45,1037,0.0606
sat_v15_c66,1730,0.1028
unsat_v15_c68,1766,0.1034
sat_v16_c37,1313,0.0784
unsat_v16_c37,1313,0.0766
sat_v19_c26,1410,0.0828
unsat_v19_c26,1410,0.0815
sat_v26_c113,4787,0.2809
unsat_v26_c113,4787,0.2837
sat_v27_c39,2792,0.161
unsat_v27_c39,2792,0.1576
sat_v34_c77,5367,0.3129
unsat_v34_c77,5367,0.3057
sat_v35_c81,5740,0.3333
unsat_v35_c81,5740,0.3263
sat_v40_c66,6280,0.3659
unsat_v40_c66,6280,0.3535
sat_v45_c118,9986,0.5782
unsat_v45_c118,9986,0.5571
sat_v46_c218,15192,0.8976
unsat_v46_c218,15192,0.8582
sat_v48_c167,13415,0.7951
unsat_v48_c167,13415,0.7825
sat_v48_c233,16781,0.9859
unsat_v48_c233,16781,0.9452
sat_v50_c187,15213,0.8948
unsat_v50_c187,15213,0.8539
sat_v51_c253,19172,1.1711
unsat_v51_c253,19172,1.1802
sat_v52_c162,14632,0.8614
unsat_v52_c162,14632,0.8901
sat_v55_c137,14328,0.8402
unsat_v55_c137,14328,0.8037
sat_v55_c225,19432,1.1545
unsat_v55_c225,19432,1.0961
sat_v57_c277,23462,1.3668
unsat_v57_c277,23462,1.3117
sat_v59_c64,11286,0.6566
unsat_v59_c64,11286,0.632
sat_v59_c92,13022,0.7446
unsat_v59_c92,13022,0.7236
sat_v61_c228,22402,1.3139
unsat_v61_c228,22402,1.2561
sat_v62_c73,12807,0.7427
unsat_v62_c73,12807,0.7131
sat_v65_c147,18838,1.087
unsat_v65_c147,18838,1.0868
sat_v69_c201,24410,1.4152
unsat_v69_c201,24410,1.3727
sat_v69_c239,27146,1.5813
unsat_v69_c239,27146,1.5117
sat_v69_c313,32474,1.9164
unsat_v69_c313,32474,1.832
sat_v73_c295,33518,1.9736
unsat_v73_c295,33518,1.8882
sat_v74_c255,31033,1.8473
unsat_v74_c255,31033,1.7506
sat_v76_c157,24413,1.4148
unsat_v76_c157,24413,1.3579
sat_v76_c172,25598,1.4939
unsat_v76_c172,25598,1.4354
sat_v78_c364,42122,2.4739
unsat_v78_c364,42122,2.3626
sat_v79_c276,35590,2.0804
unsat_v79_c276,35590,1.9954
sat_v83_c201,31564,1.8335
unsat_v83_c201,31564,1.751
sat_v84_c256,36890,2.1596
unsat_v84_c256,36890,2.0633
sat_v85_c152,28338,1.6928
unsat_v85_c152,28338,1.6811
sat_v88_c154,30032,1.7347
unsat_v88_c154,30032,1.7401
sat_v88_c339,46867,2.7606
unsat_v88_c339,46867,2.6141
sat_v89_c366,50050,2.9756
unsat_v89_c366,50050,2.8176
sat_v91_c419,56496,3.3227
unsat_v91_c419,56496,3.1683
sat_v92_c383,53867,3.1737
unsat_v92_c383,53867,3.0236
sat_v95_c453,63016,3.7224
unsat_v95_c453,63016,3.6865
sat_v96_c286,47324,2.7597
unsat_v96_c286,47324,2.6531
sat_v98_c239,43937,2.641
unsat_v98_c239,43937,2.4571
sat_v100_c103,31211,1.7817
unsat_v100_c103,31211,1.7289
