Solver: bitwuzla
Version: 0.8.1-dev-main@79229315
File Name,Parameter Count,Expected Result,Actual Result,Runtime,Command
sat_v2_c1.smt2,27,SAT,SAT,0.09s,bitwuzla --time-limit=900000 --sat-solver=cadical --nthreads=4 --memory-limit=8192 /Users/asukaur/Study/Dissertation/Benchmarking/Benchmark Convertor/benchconvert/smt/sat_v2_c1.smt2
unsat_v2_c3.smt2,37,UNSAT,UNSAT,0.2391s,bitwuzla --time-limit=900000 --sat-solver=cadical --nthreads=4 --memory-limit=8192 /Users/asukaur/Study/Dissertation/Benchmarking/Benchmark Convertor/benchconvert/smt/unsat_v2_c3.smt2
sat_v4_c7.smt2,107,SAT,SAT,3.2248s,bitwuzla --time-limit=900000 --sat-solver=cadical --nthreads=4 --memory-limit=8192 /Users/asukaur/Study/Dissertation/Benchmarking/Benchmark Convertor/benchconvert/smt/sat_v4_c7.smt2
unsat_v4_c8.smt2,114,UNSAT,UNSAT,9.0327s,bitwuzla --time-limit=900000 --sat-solver=cadical --nthreads=4 --memory-limit=8192 /Users/asukaur/Study/Dissertation/Benchmarking/Benchmark Convertor/benchconvert/smt/unsat_v4_c8.smt2
sat_v7_c30.smt2,442,SAT,SAT,109.4502s,bitwuzla --time-limit=900000 --sat-solver=cadical --nthreads=4 --memory-limit=8192 /Users/asukaur/Study/Dissertation/Benchmarking/Benchmark Convertor/benchconvert/smt/sat_v7_c30.smt2
unsat_v7_c33.smt2,472,UNSAT,UNSAT,584.8418s,bitwuzla --time-limit=900000 --sat-solver=cadical --nthreads=4 --memory-limit=8192 /Users/asukaur/Study/Dissertation/Benchmarking/Benchmark Convertor/benchconvert/smt/unsat_v7_c33.smt2
sat_v10_c33.smt2,691,SAT,SAT,35.2746s,bitwuzla --time-limit=900000 --sat-solver=cadical --nthreads=4 --memory-limit=8192 /Users/asukaur/Study/Dissertation/Benchmarking/Benchmark Convertor/benchconvert/smt/sat_v10_c33.smt2
unsat_v10_c33.smt2,691,UNSAT,TIMEOUT,900s,bitwuzla --time-limit=900000 --sat-solver=cadical --nthreads=4 --memory-limit=8192 /Users/asukaur/Study/Dissertation/Benchmarking/Benchmark Convertor/benchconvert/smt/unsat_v10_c33.smt2
sat_v10_c45.smt2,847,SAT,SAT,41.4942s,bitwuzla --time-limit=900000 --sat-solver=cadical --nthreads=4 --memory-limit=8192 /Users/asukaur/Study/Dissertation/Benchmarking/Benchmark Convertor/benchconvert/smt/sat_v10_c45.smt2
unsat_v10_c45.smt2,847,UNSAT,TIMEOUT,900s,bitwuzla --time-limit=900000 --sat-solver=cadical --nthreads=4 --memory-limit=8192 /Users/asukaur/Study/Dissertation/Benchmarking/Benchmark Convertor/benchconvert/smt/unsat_v10_c45.smt2
