Solver: z3
Version: Z3 version 4.15.1 - 64 bit
File Name,Parameter Count,Expected Result,Actual Result,Runtime,Command
sat_v10_c33.smt2,691,SAT,TIMEOUT,900s,z3 /mnt/iusers01/fse-ugpgt01/compsci01/e80540ak/asukaur/benchmark/benchconvert/smt/sat_v10_c33.smt2
sat_v10_c45.smt2,847,SAT,UNKNOWN,90.3351s,z3 /mnt/iusers01/fse-ugpgt01/compsci01/e80540ak/asukaur/benchmark/benchconvert/smt/sat_v10_c45.smt2
sat_v2_c1.smt2,27,SAT,SAT,1.5743s,z3 /mnt/iusers01/fse-ugpgt01/compsci01/e80540ak/asukaur/benchmark/benchconvert/smt/sat_v2_c1.smt2
sat_v4_c7.smt2,107,SAT,SAT,107.375s,z3 /mnt/iusers01/fse-ugpgt01/compsci01/e80540ak/asukaur/benchmark/benchconvert/smt/sat_v4_c7.smt2
sat_v7_c30.smt2,442,SAT,TIMEOUT,900s,z3 /mnt/iusers01/fse-ugpgt01/compsci01/e80540ak/asukaur/benchmark/benchconvert/smt/sat_v7_c30.smt2
unsat_v10_c33.smt2,691,UNSAT,TIMEOUT,900s,z3 /mnt/iusers01/fse-ugpgt01/compsci01/e80540ak/asukaur/benchmark/benchconvert/smt/unsat_v10_c33.smt2
unsat_v10_c45.smt2,847,UNSAT,UNKNOWN,73.3936s,z3 /mnt/iusers01/fse-ugpgt01/compsci01/e80540ak/asukaur/benchmark/benchconvert/smt/unsat_v10_c45.smt2
unsat_v2_c3.smt2,37,UNSAT,UNSAT,4.6281s,z3 /mnt/iusers01/fse-ugpgt01/compsci01/e80540ak/asukaur/benchmark/benchconvert/smt/unsat_v2_c3.smt2
unsat_v4_c8.smt2,114,UNSAT,TIMEOUT,900s,z3 /mnt/iusers01/fse-ugpgt01/compsci01/e80540ak/asukaur/benchmark/benchconvert/smt/unsat_v4_c8.smt2
unsat_v7_c33.smt2,472,UNSAT,TIMEOUT,900s,z3 /mnt/iusers01/fse-ugpgt01/compsci01/e80540ak/asukaur/benchmark/benchconvert/smt/unsat_v7_c33.smt2
