Verifier: cbmc
Version: 6.7.1 (cbmc-6.7.1)
File Name,Parameter Count,Expected Result,Actual Result,Runtime,Solver Used,Flags Used
prop_sat_v2_c1.c,27,SAT,VERIFICATION SUCCESSFUL (UNSAT),0.9658s,UNKNOWN,--float-overflow-check --nan-check --bounds-check --no-pointer-check --signed-overflow-check --no-div-by-zero-check --round-to-nearest --fpa --trace -Iextern
prop_unsat_v2_c3.c,37,UNSAT,VERIFICATION SUCCESSFUL (UNSAT),1.1145s,UNKNOWN,--float-overflow-check --nan-check --bounds-check --no-pointer-check --signed-overflow-check --no-div-by-zero-check --round-to-nearest --fpa --trace -Iextern
prop_sat_v4_c7.c,107,SAT,VERIFICATION SUCCESSFUL (UNSAT),6.5254s,UNKNOWN,--float-overflow-check --nan-check --bounds-check --no-pointer-check --signed-overflow-check --no-div-by-zero-check --round-to-nearest --fpa --trace -Iextern
prop_unsat_v4_c8.c,114,UNSAT,VERIFICATION SUCCESSFUL (UNSAT),11.1600s,UNKNOWN,--float-overflow-check --nan-check --bounds-check --no-pointer-check --signed-overflow-check --no-div-by-zero-check --round-to-nearest --fpa --trace -Iextern
prop_sat_v7_c30.c,442,SAT,VERIFICATION SUCCESSFUL (UNSAT),174.8935s,UNKNOWN,--float-overflow-check --nan-check --bounds-check --no-pointer-check --signed-overflow-check --no-div-by-zero-check --round-to-nearest --fpa --trace -Iextern
prop_unsat_v7_c33.c,472,UNSAT,VERIFICATION SUCCESSFUL (UNSAT),262.6669s,UNKNOWN,--float-overflow-check --nan-check --bounds-check --no-pointer-check --signed-overflow-check --no-div-by-zero-check --round-to-nearest --fpa --trace -Iextern
prop_sat_v10_c33.c,691,SAT,VERIFICATION SUCCESSFUL (UNSAT),428.7671s,UNKNOWN,--float-overflow-check --nan-check --bounds-check --no-pointer-check --signed-overflow-check --no-div-by-zero-check --round-to-nearest --fpa --trace -Iextern
prop_unsat_v10_c33.c,691,UNSAT,VERIFICATION SUCCESSFUL (UNSAT),384.5255s,UNKNOWN,--float-overflow-check --nan-check --bounds-check --no-pointer-check --signed-overflow-check --no-div-by-zero-check --round-to-nearest --fpa --trace -Iextern
prop_sat_v10_c45.c,847,SAT,VERIFICATION FAILED (SAT),164.3400s,UNKNOWN,--float-overflow-check --nan-check --bounds-check --no-pointer-check --signed-overflow-check --no-div-by-zero-check --round-to-nearest --fpa --trace -Iextern
prop_unsat_v10_c45.c,847,UNSAT,VERIFICATION FAILED (SAT),149.8016s,UNKNOWN,--float-overflow-check --nan-check --bounds-check --no-pointer-check --signed-overflow-check --no-div-by-zero-check --round-to-nearest --fpa --trace -Iextern
