Solver: bitwuzla
Version: 0.8.1-dev-main@79229315
File Name,Parameter Count,Expected Result,Actual Result,Runtime,Command
sat_v10_c33.smt2,691,SAT,TIMEOUT,4s,bitwuzla smt/sat_v10_c33.smt2
sat_v10_c45.smt2,847,SAT,TIMEOUT,4s,bitwuzla smt/sat_v10_c45.smt2
sat_v2_c1.smt2,27,SAT,SAT,0.0736s,bitwuzla smt/sat_v2_c1.smt2
sat_v4_c7.smt2,107,SAT,SAT,2.6123s,bitwuzla smt/sat_v4_c7.smt2
sat_v7_c30.smt2,442,SAT,TIMEOUT,4s,bitwuzla smt/sat_v7_c30.smt2
unsat_v10_c33.smt2,691,UNSAT,TIMEOUT,4s,bitwuzla smt/unsat_v10_c33.smt2
unsat_v10_c45.smt2,847,UNSAT,TIMEOUT,4s,bitwuzla smt/unsat_v10_c45.smt2
unsat_v2_c3.smt2,37,UNSAT,UNSAT,0.2044s,bitwuzla smt/unsat_v2_c3.smt2
unsat_v4_c8.smt2,114,UNSAT,TIMEOUT,4s,bitwuzla smt/unsat_v4_c8.smt2
unsat_v7_c33.smt2,472,UNSAT,TIMEOUT,4s,bitwuzla smt/unsat_v7_c33.smt2
