Verifier: cbmc
Version: 6.7.1 (cbmc-6.7.1)
File Name,Expected Result,Actual Result,Runtime,Solver Used,Flags Used
prop_sat_v10_c33.c,SAT,VERIFICATION FAILED (SAT),0.3090s,UNKNOWN,--no-bounds-check --no-pointer-check --unwind 10 -Iextern
prop_sat_v10_c45.c,SAT,VERIFICATION FAILED (SAT),0.1640s,UNKNOWN,--no-bounds-check --no-pointer-check --unwind 10 -Iextern
prop_sat_v2_c1.c,SAT,VERIFICATION SUCCESSFUL (UNSAT),0.0723s,UNKNOWN,--no-bounds-check --no-pointer-check --unwind 10 -Iextern
prop_sat_v4_c7.c,SAT,VERIFICATION FAILED (SAT),0.4358s,UNKNOWN,--no-bounds-check --no-pointer-check --unwind 10 -Iextern
prop_sat_v7_c30.c,SAT,VERIFICATION FAILED (SAT),0.7700s,UNKNOWN,--no-bounds-check --no-pointer-check --unwind 10 -Iextern
prop_unsat_v10_c33.c,UNSAT,VERIFICATION FAILED (SAT),0.1812s,UNKNOWN,--no-bounds-check --no-pointer-check --unwind 10 -Iextern
prop_unsat_v10_c45.c,UNSAT,VERIFICATION FAILED (SAT),0.1689s,UNKNOWN,--no-bounds-check --no-pointer-check --unwind 10 -Iextern
prop_unsat_v2_c3.c,UNSAT,VERIFICATION SUCCESSFUL (UNSAT),0.0807s,UNKNOWN,--no-bounds-check --no-pointer-check --unwind 10 -Iextern
prop_unsat_v4_c8.c,UNSAT,VERIFICATION FAILED (SAT),0.5219s,UNKNOWN,--no-bounds-check --no-pointer-check --unwind 10 -Iextern
prop_unsat_v7_c33.c,UNSAT,VERIFICATION FAILED (SAT),1.0398s,UNKNOWN,--no-bounds-check --no-pointer-check --unwind 10 -Iextern
